Name,Chosen Number,Time delay (seconds),Timestamp
Aekam,9,3.24796986579895,2025-07-30 10:59:04
Aekam,9,15.713133811950684,2025-07-30 10:59:20
Aekam,8,2.3330211639404297,2025-07-30 10:59:22
Aekam,1,1.8511500358581543,2025-07-30 10:59:24
Aekam,3,1.077873706817627,2025-07-30 10:59:25
Aekam,4,1.0711894035339355,2025-07-30 10:59:26
Aekam,3,1.6140484809875488,2025-07-30 10:59:28
Aekam,6,1.302886962890625,2025-07-30 10:59:29
Aekam,7,1.1306850910186768,2025-07-30 10:59:31
Aekam,4,1.1685097217559814,2025-07-30 10:59:32
Aekam,3,1.0720787048339844,2025-07-30 10:59:33
Aekam,7,1.0392320156097412,2025-07-30 10:59:34
Aekam,8,1.0721697807312012,2025-07-30 10:59:35
Aekam,4,0.9760777950286865,2025-07-30 10:59:36
Aekam,5,0.991995096206665,2025-07-30 10:59:37
Aekam,6,0.842902421951294,2025-07-30 10:59:38
Aekam,7,0.9332144260406494,2025-07-30 10:59:39
Aekam,3,1.311706781387329,2025-07-30 10:59:40
Aekam,4,1.0242071151733398,2025-07-30 10:59:41
Aekam,5,0.9766900539398193,2025-07-30 10:59:42
Aekam,8,0.94124436378479,2025-07-30 10:59:43
Aekam,1,0.9100868701934814,2025-07-30 10:59:44
Aekam,2,0.8042809963226318,2025-07-30 10:59:45
Aekam,7,1.983328104019165,2025-07-30 10:59:47
Aekam,5,0.8315389156341553,2025-07-30 10:59:47
Aekam,4,0.9593303203582764,2025-07-30 10:59:48
Aekam,3,0.8972275257110596,2025-07-30 10:59:49
Aekam,5,0.8951365947723389,2025-07-30 10:59:50
Aekam,3,0.816899299621582,2025-07-30 10:59:51
Aekam,4,1.2307446002960205,2025-07-30 10:59:52
Aekam,8,0.975771427154541,2025-07-30 10:59:53
Aekam,9,1.2476963996887207,2025-07-30 10:59:54
Aekam,4,1.1213114261627197,2025-07-30 10:59:56
Aekam,6,0.9831328392028809,2025-07-30 10:59:57
Aekam,2,1.049112319946289,2025-07-30 10:59:58
Aekam,4,7.23137354850769,2025-07-30 11:00:05
Aekam,3,0.9768075942993164,2025-07-30 11:00:06
Aekam,5,0.9382472038269043,2025-07-30 11:00:07
Aekam,6,0.9804270267486572,2025-07-30 11:00:08
Aekam,8,1.0244362354278564,2025-07-30 11:00:09
Aekam,2,1.391813039779663,2025-07-30 11:00:10
Aekam,9,1.7116732597351074,2025-07-30 11:00:12
Aekam,8,1.0221672058105469,2025-07-30 11:00:13
Aekam,7,1.1056265830993652,2025-07-30 11:00:14
Aekam,6,1.1834759712219238,2025-07-30 11:00:15
Aekam,5,1.0724923610687256,2025-07-30 11:00:16
Aekam,4,1.056199550628662,2025-07-30 11:00:17
Aekam,3,1.0719685554504395,2025-07-30 11:00:18
Aekam,2,1.0710890293121338,2025-07-30 11:00:19
Aekam,1,2.7351996898651123,2025-07-30 11:00:22
Aekam,2,1.090447187423706,2025-07-30 11:00:23
Aekam,3,1.0714507102966309,2025-07-30 11:00:24
Aekam,4,1.034339427947998,2025-07-30 11:00:25
Aekam,5,0.9819331169128418,2025-07-30 11:00:26
Aekam,6,0.9959716796875,2025-07-30 11:00:27
Aekam,7,1.0033445358276367,2025-07-30 11:00:28
Aekam,8,1.0244462490081787,2025-07-30 11:00:29
Aekam,9,0.9921283721923828,2025-07-30 11:00:30
Aekam,8,1.5848944187164307,2025-07-30 11:00:32
Aekam,7,0.9905049800872803,2025-07-30 11:00:33
Aekam,6,0.959214448928833,2025-07-30 11:00:34
Aekam,5,1.3624598979949951,2025-07-30 11:00:35
Aekam,4,1.4677186012268066,2025-07-30 11:00:37
Aekam,3,1.02197265625,2025-07-30 11:00:38
Aekam,2,1.1025755405426025,2025-07-30 11:00:39
Aekam,1,1.1578309535980225,2025-07-30 11:00:40
Aekam,2,1.071403980255127,2025-07-30 11:00:41
Aekam,3,1.0404551029205322,2025-07-30 11:00:42
Aekam,4,1.0246198177337646,2025-07-30 11:00:43
Aekam,5,0.9743118286132812,2025-07-30 11:00:44
Aekam,6,1.0040514469146729,2025-07-30 11:00:45
Aekam,7,1.0097193717956543,2025-07-30 11:00:46
Aekam,8,0.9161472320556641,2025-07-30 11:00:47
